"","PLZ99","PLZORT99","area_d","bakery","bar","cafe","clothes"
"674","10115","Berlin (östl. Stadtbezirke)",0.000320675539274986,20,15,53,15
"675","10117","Berlin (östl. Stadtbezirke)",0.000439704128122229,13,24,85,49
"676","10119","Berlin (östl. Stadtbezirke)",0.00011344917500281,6,13,29,15
"677","10178","Berlin (östl. Stadtbezirke)",0.000247854836071785,9,14,57,102
"678","10179","Berlin (östl. Stadtbezirke)",0.000288915689159983,1,1,14,23
"679","10243","Berlin (östl. Stadtbezirke)",0.000376817429591971,24,14,21,10
"680","10245","Berlin (östl. Stadtbezirke)",0.000405556447886959,29,36,55,41
"681","10247","Berlin (östl. Stadtbezirke)",0.000269453362336208,15,12,21,14
"682","10249","Berlin (östl. Stadtbezirke)",0.000253904891409007,8,3,13,1
"683","10315","Berlin (östl. Stadtbezirke)",0.000325016692025403,7,5,2,0
"684","10317","Berlin (östl. Stadtbezirke)",0.000500868726039001,12,4,7,5
"685","10318","Berlin (östl. Stadtbezirke)",0.000911650615210787,6,0,4,2
"686","10319","Berlin (östl. Stadtbezirke)",0.000501699147143384,7,3,4,5
"687","10365","Berlin (östl. Stadtbezirke)",0.000867560758439378,9,4,8,8
"688","10367","Berlin (östl. Stadtbezirke)",0.000187816085148638,7,0,0,1
"689","10369","Berlin (östl. Stadtbezirke)",0.000235300036401006,8,3,4,3
"690","10405","Berlin (östl. Stadtbezirke)",0.000228035761126218,13,14,34,5
"691","10407","Berlin (östl. Stadtbezirke)",0.000374763313980022,9,2,12,2
"692","10409","Berlin (östl. Stadtbezirke)",0.000178890379183769,3,0,1,0
"693","10435","Berlin (östl. Stadtbezirke)",0.000117282076907407,14,16,52,29
"694","10437","Berlin (östl. Stadtbezirke)",0.00020582627543278,22,21,38,13
"695","10439","Berlin (östl. Stadtbezirke)",0.000224545277617155,10,6,16,2
"696","10551","Berlin-West",0.000122984915344171,2,2,4,1
"697","10553","Berlin-West",0.000184511415396651,5,1,3,1
"698","10555","Berlin-West",0.000124811941284023,8,4,12,9
"699","10557","Berlin-West",0.000534147363397813,13,4,24,1
"700","10559","Berlin-West",0.000140458173200979,3,3,3,1
"701","10585","Berlin-West",0.000122170824649828,11,1,13,7
"702","10587","Berlin-West",0.000232514569699117,4,3,12,1
"703","10589","Berlin-West",0.000244950644332787,5,2,2,0
"704","10623","Berlin-West",0.000129344844281441,3,8,17,5
"705","10625","Berlin-West",8.07424463574147e-05,3,4,16,6
"706","10627","Berlin-West",7.74614956085724e-05,13,1,25,8
"707","10629","Berlin-West",0.00010383109440303,10,4,30,23
"708","10707","Berlin-West",9.86525858465978e-05,6,0,13,56
"709","10709","Berlin-West",0.000143791771357782,8,3,12,8
"710","10711","Berlin-West",0.000100045761481819,9,1,16,4
"711","10713","Berlin-West",0.000157577435623811,10,0,10,2
"712","10715","Berlin-West",0.000156406302145817,8,0,14,3
"713","10717","Berlin-West",0.000121616488772955,6,0,10,1
"714","10719","Berlin-West",9.10809859932085e-05,8,3,37,45
